timestamp,fecha,hora,open,high,low,close,spread,fuerza_cuerpo,fuerza_mecha,score,rsi,ema,momentum,variacion,alcista,volumen_tick,spike_real,spike_anticipado,ganancia_esperada,duracion_estimada,operacion_exitosa
1751236440,06-29-25,22:34:00,16692.602,16692.602,16691.517,16691.517,1.085,1.085,0,0,0,16696.13424,-1.098,-6.57776E-05,0,60,0,0,0,0,0
1751236500,06-29-25,22:35:00,16691.475,16691.475,16690.566,16690.566,0.909,0.909,0,0,0,16695.12184,-0.951,-0.000056975,0,60,0,0,0,0,0
1751236560,06-29-25,22:36:00,16690.551,16690.551,16689.574,16689.574,0.977,0.977,0,0,0,16694.11314,-0.992,-5.94348E-05,0,60,0,0,0,0,0
1751236620,06-29-25,22:37:00,16689.559,16689.559,16688.611,16688.611,0.948,0.948,0,0,0,16693.11275,-0.963,-5.77007E-05,0,60,0,0,0,0,0
1751236680,06-29-25,22:38:00,16688.605,16688.605,16687.513,16687.513,1.092,1.092,0,0,0,16692.09461,-1.098,-6.57934E-05,0,60,0,0,0,0,0
1751236740,06-29-25,22:39:00,16687.508,16687.508,16686.421,16686.421,1.087,1.087,0,0,0,16691.06304,-1.092,-6.54382E-05,0,60,0,0,0,0,0
1751236800,06-29-25,22:40:00,16686.404,16686.404,16685.442,16685.442,0.962,0.962,0,0,0,16690.04103,-0.979,-5.86705E-05,0,60,0,0,0,0,0
1751236860,06-29-25,22:41:00,16685.433,16685.433,16684.562,16684.562,0.871,0.871,0,0,0,16689.04483,-0.88,-5.27406E-05,0,60,0,0,0,0,0
1751236920,06-29-25,22:42:00,16684.561,16684.561,16683.515,16683.515,1.046,1.046,0,0,0,16688.0395,-1.047,-6.27526E-05,0,60,0,0,0,0,0
1751236980,06-29-25,22:43:00,16683.49,16683.49,16682.596,16682.596,0.894,0.894,0,0,0,16687.04976,-0.919,-5.50843E-05,0,60,0,0,0,0,0
1751237040,06-29-25,22:44:00,16682.588,16682.588,16681.452,16681.452,1.136,1.136,0,0,0,16686.03198,-1.144,-6.85745E-05,0,60,0,0,0,0,0
1751237100,06-29-25,22:45:00,16681.44,16681.44,16680.484,16680.484,0.956,0.956,0,0,0,16685.02327,-0.968,-5.80285E-05,0,60,0,0,0,0,0
1751237160,06-29-25,22:46:00,16680.45,16680.45,16679.398,16679.398,1.052,1.052,0,0,0,16684.00049,-1.086,-0.000065106,0,60,0,0,0,0,0
1751237220,06-29-25,22:47:00,16679.396,16679.396,16678.433,16678.433,0.963,0.963,0,0,0,16682.98821,-0.965,-5.78558E-05,0,60,0,0,0,0,0
1751237280,06-29-25,22:48:00,16678.416,16678.416,16677.47,16677.47,0.946,0.946,0,0,0,16681.9849,-0.963,-5.77392E-05,0,60,0,0,0,0,0
1751237340,06-29-25,22:49:00,16677.458,16677.458,16676.365,16676.365,1.093,1.093,0,0,0,16680.96309,-1.105,-6.62571E-05,0,60,0,0,0,0,0
1751237400,06-29-25,22:50:00,16676.343,16676.343,16675.391,16675.391,0.952,0.952,0,0,0,16679.94998,-0.974,-0.000058406,0,60,0,0,0,0,0
1751237460,06-29-25,22:51:00,16675.372,16675.372,16674.341,16674.341,1.031,1.031,0,0,0,16678.93016,-1.05,-0.000062967,0,60,0,0,0,0,0
1751237520,06-29-25,22:52:00,16674.323,16674.323,16673.339,16673.339,0.984,0.984,0,0,0,16677.91358,-1.002,-6.00923E-05,0,60,0,0,0,0,0
1751237580,06-29-25,22:53:00,16673.317,16673.317,16672.219,16672.219,1.098,1.098,0,0,0,16676.87823,-1.12,-6.71731E-05,0,60,0,0,0,0,0
1751237640,06-29-25,22:54:00,16672.215,16672.215,16671.292,16671.292,0.923,0.923,0,0,0,16675.86254,-0.927,-5.56015E-05,0,60,0,0,0,0,0
1751237700,06-29-25,22:55:00,16671.291,16671.291,16670.353,16670.353,0.938,0.938,0,0,0,16674.8608,-0.939,-5.63244E-05,0,60,0,0,0,0,0
1751237760,06-29-25,22:56:00,16670.342,16670.342,16669.24,16669.24,1.102,1.102,0,0,0,16673.83883,-1.113,-6.67652E-05,0,60,0,0,0,0,0
1751237820,06-29-25,22:57:00,16669.22,16669.22,16668.203,16668.203,1.017,1.017,0,0,0,16672.81413,-1.037,-6.22104E-05,0,60,0,0,0,0,0
1751237880,06-29-25,22:58:00,16668.19,16668.19,16667.286,16667.286,0.904,0.904,0,0,0,16671.80901,-0.917,-5.50149E-05,0,60,0,0,0,0,0
1751237940,06-29-25,22:59:00,16667.26,16667.26,16666.307,16666.307,0.953,0.953,0,0,0,16670.80864,-0.979,-5.87378E-05,0,60,0,0,0,0,0
1751238000,06-29-25,23:00:00,16666.284,16666.284,16665.249,16665.249,1.035,1.035,0,0,0,16669.79779,-1.058,-6.34814E-05,0,60,0,0,0,0,0
1751238060,06-29-25,23:01:00,16665.219,16665.219,16664.393,16664.393,0.826,0.826,0,0,0,16668.81509,-0.856,-5.13644E-05,0,60,0,0,0,0,0
1751238120,06-29-25,23:02:00,16664.37,16664.37,16663.501,16663.501,0.869,0.869,0,0,0,16667.84889,-0.892,-5.35273E-05,0,60,0,0,0,0,0
1751238180,06-29-25,23:03:00,16663.488,16663.488,16662.568,16662.568,0.92,0.92,0,0,0,16666.88872,-0.933,-5.59906E-05,0,60,0,1,-24.871,3,0
1751238240,06-29-25,23:04:00,16662.541,16662.541,16661.632,16661.632,0.909,0.909,0,0,0,16665.93295,-0.936,-5.61738E-05,0,60,0,1,-25.807,2,0
1751238300,06-29-25,23:05:00,16661.598,16661.598,16660.653,16660.653,0.945,0.945,0,0,0,16664.97295,-0.979,-5.87577E-05,0,60,0,1,-26.786,1,0
1751238360,06-29-25,23:06:00,16660.65,16687.491,16659.832,16687.439,27.659,26.789,0.87,0.998119961,67.86076206,16669.05768,26.786,0.00160774,1,60,1,0,0,0,0
1751238420,06-29-25,23:07:00,16687.414,16687.414,16686.276,16686.276,1.138,1.138,0,0,67.78691636,16672.18828,-1.163,-6.96931E-05,0,60,0,0,0,0,0
