epoch,open,high,low,close,spread,momentum,variacion,score,rsi,ema,fuerza_cuerpo,mecha_superior,mecha_inferior,fuerza_mecha,bajistas,futuro
1750238160.0,17404.187,17404.187,17403.123,17403.123,1.0640000000021246,-1.0669999999990978,-6.113471430766197e-05,0.0003011911069815,70.40200405582407,17394.5684875759,1.0640000000021246,0.0,0.0,0.0,1.0,-3.0240000000012515
1750238220.0,17403.116,17403.116,17402.136,17402.136,0.9800000000032014,-0.9870000000009896,-5.631175474571343e-05,0.0001194737037694,70.42384611712558,17395.944392233017,0.9800000000032014,0.0,0.0,0.0,1.0,-3.0869999999995343
1750238280.0,17402.118,17402.118,17401.086,17401.086,1.0319999999992433,-1.0499999999992724,-5.930312620562873e-05,-6.21683365245956e-05,70.38353289128379,17396.87922397122,1.0319999999992433,0.0,0.0,0.0,1.0,-3.0649999999986903
1750238340.0,17401.085,17401.085,17400.099,17400.099,0.9860000000007858,-0.9870000000009896,-5.666313336213149e-05,-6.090799309617568e-05,70.33488261231807,17397.464632075724,0.9860000000007858,0.0,0.0,0.0,1.0,-3.1709999999984575
1750238400.0,17400.083,17400.083,17399.049,17399.049,1.0339999999996508,-1.0499999999992724,-5.942500389220274e-05,-5.8567546502667735e-05,70.07099945384667,17397.75269411971,1.0339999999996508,0.0,0.0,0.0,1.0,-3.029999999998836
1750238460.0,17399.01,17399.01,17398.021,17398.021,0.988999999997759,-1.0279999999984284,-5.684231459133359e-05,-5.770906655940206e-05,70.29969506384639,17397.801470178572,0.988999999997759,0.0,0.0,0.0,1.0,-3.1450000000004366
1750238520.0,17398.014,17398.014,17396.928,17396.928,1.0859999999993306,-1.0930000000007567,-6.24209176978091e-05,-5.89308991498212e-05,70.22274046927487,17397.642651086127,1.0859999999993306,0.0,0.0,0.0,1.0,-3.1480000000010477
1750238580.0,17396.909,17396.909,17396.019,17396.019,0.8899999999994179,-0.9089999999996508,-5.115851327379007e-05,-5.730197656345346e-05,70.26956231842676,17397.347435777832,0.8899999999994179,0.0,0.0,0.0,1.0,2.5869999999995343
1750238640.0,17396.006,17396.006,17394.876,17394.876,1.1300000000010186,-1.143000000000029,-6.495743908119016e-05,-5.89608377072652e-05,70.00782899575496,17396.898076735986,1.1300000000010186,0.0,0.0,0.0,1.0,2.6569999999992433
1750238700.0,17394.842,17394.842,17393.78,17393.78,1.0620000000017171,-1.096000000001368,-6.105258098933678e-05,-5.928635312669201e-05,69.8156954598136,17396.331147891542,1.0620000000017171,0.0,0.0,0.0,1.0,2.563000000001921
1750238760.0,17399.28,17399.28,17398.606,17398.606,0.6739999999990687,4.826000000000931,-3.873723510392779e-05,-5.566533722921084e-05,60.49787905997238,17396.744752591196,0.6739999999990687,0.0,0.0,0.0,1.0,-3.3519999999989523
1750238820.0,17398.598,17398.598,17397.533,17397.533,1.0650000000023283,-1.07300000000032,-6.121182867736401e-05,-5.542351942512183e-05,25.86696682210531,17396.88806477774,1.0650000000023283,0.0,0.0,0.0,1.0,-3.269000000000233
1750238880.0,17397.502,17397.502,17396.343,17396.343,1.1589999999996508,-1.1899999999986903,-6.661875940578427e-05,-5.8515568651520665e-05,25.738666666671637,17396.78911348558,1.1589999999996508,0.0,0.0,0.0,1.0,-3.2629999999990105
1750238940.0,17396.312,17396.312,17395.254,17395.254,1.0580000000009022,-1.0889999999999418,-6.081748821249597e-05,-5.768757847778184e-05,25.962986873256938,17396.509995096585,1.0580000000009022,0.0,0.0,0.0,1.0,-3.1890000000021246
1750239000.0,17395.232,17395.232,17394.264,17394.264,0.9680000000007568,-0.9900000000016008,-5.564743258386877e-05,-5.660654879668824e-05,26.070984819838728,17396.101626284628,0.9680000000007568,0.0,0.0,0.0,1.0,-3.24199999999837
1750239060.0,17394.231,17394.231,17393.08,17393.08,1.150999999998021,-1.183999999997468,-6.617136451723683e-05,-6.209337467935005e-05,25.79645071627786,17395.552234204588,1.150999999998021,0.0,0.0,0.0,1.0,-3.055000000000291
1750239120.0,17393.067,17393.067,17392.065,17392.065,1.0020000000004077,-1.015000000003056,-5.76091611675162e-05,-6.137284117738046e-05,25.84480265624316,17394.91818610959,1.0020000000004077,0.0,0.0,0.0,1.0,-3.0469999999986612
1750239180.0,17392.054,17392.054,17391.022,17391.022,1.0319999999992433,-1.0429999999978463,-5.93374422595079e-05,-5.991657774812519e-05,25.76752629612417,17394.209782939815,1.0319999999992433,0.0,0.0,0.0,1.0,-3.0460000000020955
1750239240.0,17390.994,17390.994,17390.025,17390.025,0.9689999999973224,-0.9969999999993888,-5.571849429637676e-05,-5.889677896490135e-05,25.840651103025635,17393.448906025587,0.9689999999973224,0.0,0.0,0.0,1.0,-3.1860000000015134
