epoch,open,high,low,close,spread,momentum,variacion,score,rsi,ema,fuerza_cuerpo,mecha_superior,mecha_inferior,fuerza_mecha,bajistas
1750150260,17588.272,17588.272,17587.161,17587.161,1.111,-1.112,-6.31671E-05,-6.13971E-05,0,17592.0237,1.111,0,0,0,1
1750150320,17587.136,17587.136,17586.103,17586.103,1.033,-1.058,-5.87361E-05,-6.27422E-05,0,17590.9472,1.033,0,0,0,1
1750150380,17586.087,17586.087,17585.025,17585.025,1.062,-1.078,-6.03886E-05,-0.000062621,0,17589.87043,1.062,0,0,0,1
1750150440,17585.022,17585.022,17583.846,17583.846,1.176,-1.179,-6.68751E-05,-6.14996E-05,0,17588.77507,1.176,0,0,0,1
1750150500,17583.835,17583.835,17582.795,17582.795,1.04,-1.051,-5.91452E-05,-6.16624E-05,0,17587.68778,1.04,0,0,0,1
1750150560,17582.762,17582.762,17581.739,17581.739,1.023,-1.056,-0.000058182,-6.06654E-05,0,17586.60618,1.023,0,0,0,1
1750150620,17581.732,17581.732,17580.723,17580.723,1.009,-1.016,-5.73891E-05,-0.000060396,0,17585.5365,1.009,0,0,0,1
1750150680,17580.72,17580.72,17579.651,17579.651,1.069,-1.072,-6.08052E-05,-6.04793E-05,0,17584.46641,1.069,0,0,0,1
1750150740,17579.646,17579.646,17578.67,17578.67,0.976,-0.981,-5.55188E-05,-5.82081E-05,0,17583.41251,0.976,0,0,0,1
1750152480,17549.65,17549.65,17548.778,17548.778,0.872,-0.881,-4.96876E-05,-0.000048649,0,17571.40018,0.872,0,0,0,1
1750152540,17548.739,17548.739,17547.742,17547.742,0.997,-1.036,-5.68132E-05,-4.78506E-05,0,17567.09869,0.997,0,0,0,1
1750152600,17547.738,17547.738,17546.643,17546.643,1.095,-1.099,-6.24012E-05,-4.92271E-05,0,17563.37946,1.095,0,0,0,1
1750152660,17546.635,17546.635,17545.713,17545.713,0.922,-0.93,-5.25457E-05,-4.88935E-05,0,17560.16737,0.922,0,0,0,1
1750152720,17545.689,17545.689,17544.513,17544.513,1.176,-1.2,-0.000067025,-5.76945E-05,0,17557.32112,1.176,0,0,0,1
1750152780,17544.499,17544.499,17543.497,17543.497,1.002,-1.016,-5.71119E-05,-5.91794E-05,0,17554.80763,1.002,0,0,0,1
