open,high,low,close,spread,momentum,ema,rsi
18314.145,18314.145,18313.09,18313.09,1.055000000000291,-5.798794287603659e-05,18298.41470358405,79.20692046632794
18313.068,18313.068,18312.109,18312.109,0.9589999999989232,-5.3568239985701815e-05,18300.240609772845,77.84675133042836
18312.098,18319.343,18312.081,18318.307,7.262000000002445,0.0003384645646222,18302.64946180313,80.16437503319179
18318.267,18318.267,18317.336,18317.336,0.9310000000004948,-5.300708193178849e-05,18304.60766689605,78.77397237579065
18317.312,18317.312,18316.104,18316.104,1.2080000000023574,-6.725868870882667e-05,18306.14051130991,76.95030477062518
18316.091,18316.091,18315.211,18315.211,0.8800000000010186,-4.875490988698328e-05,18307.34990980192,75.58439963040786
18315.21,18315.21,18314.217,18314.217,0.992999999998574,-5.427182902772998e-05,18308.265521828333,74.00962642729102
18314.178,18325.488,18313.49,18324.995,11.997999999999593,0.0005885045481333,18310.496118917887,79.09546751248276
18324.988,18324.988,18324.012,18324.012,0.9760000000023864,-5.36425794386286e-05,18312.2982363955,77.60393060401015
18324.006,18331.28,18323.099,18331.06,8.181000000000495,0.0003846319244935,18314.7998048761,80.4504619333294
18331.054,18331.054,18330.048,18330.048,1.0060000000012224,-5.5206845648969605e-05,18316.832897559285,78.89979215371929
18330.025,18330.025,18328.897,18328.897,1.1280000000006112,-6.279307070000684e-05,18318.44144455138,77.08004014372642
18328.877,18328.877,18327.673,18327.673,1.2040000000015425,-6.677979586011684e-05,18319.6723186112,75.09647406558638
18327.646,18327.646,18326.528,18326.528,1.118000000002212,-6.247383396684736e-05,18320.58640946304,73.19881775319274
18326.519,18326.519,18325.46,18325.46,1.059000000001106,-5.827617757159232e-05,18321.23622153464,71.38678401417295
18325.447,18325.447,18324.47,18324.47,0.9769999999989524,-5.4023200508956926e-05,18321.66739199668,69.66520578277476
18324.446,18324.446,18323.333,18323.333,1.1130000000011933,-6.204817929267303e-05,18321.88947306379,67.64744220263108
18323.312,18323.312,18322.288,18322.288,1.0240000000012517,-5.7031108914418205e-05,18321.94260998862,65.7621829338724
18322.276,18322.276,18321.016,18321.016,1.2600000000020373,-6.94236440340612e-05,18321.819061990136,63.444421921316575
18321.007,18321.007,18319.888,18319.888,1.1190000000024156,-6.156863789652522e-05,18321.56158705812,61.37849323111704
18319.887,18319.887,18318.988,18318.988,0.8989999999976135,-4.912693789382861e-05,18321.218442117035,59.70789605303178
18318.974,18318.974,18317.713,18317.713,1.260999999998603,-6.95999145805537e-05,18320.75104983476,57.32738600593255
18317.692,18317.692,18316.55,18316.55,1.1419999999998254,-6.349045866149705e-05,18320.190909856792,55.16680623209867
18316.478,18316.478,18315.46,18315.46,1.018000000000029,-5.950902326035124e-05,18319.56012187589,53.14516811009927
